# ----------------------------------------
# Engagement
# Account: Default Account for Firebase
# Property: ravamate
# ----------------------------------------
#  
# Start date: 20241001
# End date: 20260911
Nth week,Active users
0051,0,0,0
0052,0,0,0
0053,0,0,0
0054,0,0,0
0055,0,0,0
0056,0,0,0
0057,0,0,0
0058,0,0,0
0059,0,0,0
0060,0,0,0
0061,0,0,0
0062,0,0,0
0063,0,0,0
0064,0,0,0
0065,0,0,0
0066,0,0,0
0067,0,0,0
0068,0,0,0
0069,0,0,0
0070,0,0,0
0071,0,0,0
0072,0,0,0
0073,0,0,0
0074,0,0,0
0075,0,0,0
0076,0,0,0
0077,0,0,0
0078,0,0,0
0079,0,0,0
0080,0,0,0
0081,0,0,0
0082,0,0,0
0083,0,0,0
0084,0,0,0
0085,0,0,0
0086,0,0,0
0087,0,0,0
0088,0,0,0
0089,0,0,0
0090,0,0,0
0091,0,0,0
0092,0,0,0
0093,0,0,0
0094,0,0,0
0095,0,0,0
0096,0,0,0
0097,0,0,0
0098,0,0,0
0099,0,0,0
0100,0,0,0
0101,0,0,0
0102,0,0,0
0103,0,0,0
0104,0,0,0
0105,0,0,0
0106,0,0,0
0107,0,0,0
0108,0,0,0
0109,0,0,0
0110,0,0,0
0111,0,0,0
0112,0,0,0
0113,0,0,0
0114,0,0,0
0115,0,0,0
0116,0,0,0
0117,0,0,0
0118,0,0,0
0119,0,0,0
0120,0,0,0
0121,0,0,0
0122,0,0,0
0123,0,0,0
0124,0,0,0
0125,0,0,0
0126,0,0,0
0127,0,0,0
0128,0,0,0
0129,0,0,0
0130,0,0,0
0131,0,0,0
0132,0,0,0
0133,0,0,0
0134,0,0,0
0135,0,0,0
0136,0,0,0
0137,0,0,0
0138,0,0,0
0139,0,0,0
0140,0,0,0
0141,0,0,0
0142,0,0,0
0143,0,0,0
0144,0,0,0
0145,0,0,0
0146,0,0,0
0147,0,0,0
0148,0,0,0
0149,0,0,0
0150,0,0,0
0151,0,0,0
0152,0,0,0
0153,0,0,0
0154,0,0,0
0155,0,0,0
0156,0,0,0
0157,0,0,0
0158,0,0,0
0159,0,0,0
0160,0,0,0
0161,0,0,0
0162,0,0,0
0163,0,0,0
0164,0,0,0
0165,0,0,0
0166,0,0,0
0167,0,0,0
0168,0,0,0
0169,0,0,0
0170,0,0,0
0171,0,0,0
0172,0,0,0
0173,0,0,0
0174,0,0,0
0175,0,0,0
0176,0,0,0
0177,0,0,0
0178,0,0,0
0179,0,0,0
0180,0,0,0
0181,0,0,0
0182,0,0,0
0183,0,0,0
0184,0,0,0
0185,0,0,0
0186,0,0,0
0187,0,0,0
0188,0,0,0
0189,0,0,0
0190,0,0,0
0191,0,0,0
0192,0,0,0
0193,0,0,0
0194,0,0,0
0195,0,0,0
0196,0,0,0
0197,0,0,0
0198,0,0,0
0199,0,0,0
0200,0,0,0
0201,0,0,0
0202,0,0,0
0203,0,0,0
0204,0,0,0
0205,0,0,0
0206,0,0,0
0207,0,0,0
0208,0,0,0
0209,0,0,0
0210,0,0,0
0211,0,0,0
0212,0,0,0
0213,0,0,0
0214,0,0,0
0215,0,0,0
0216,0,0,0
0217,0,0,0
0218,0,0,0
0219,0,0,0
0220,0,0,0
0221,0,0,0
0222,0,0,0
0223,0,0,0
0224,0,0,0
0225,0,0,0
0226,0,0,0
0227,0,0,0
0228,0,0,0
0229,0,0,0
0230,0,0,0
0231,0,0,0
0232,0,0,0
0233,0,0,0
0234,0,0,0
0235,0,0,0
0236,0,0,0
0237,0,0,0
0238,0,0,0
0239,0,0,0
0240,0,0,0
0241,0,0,0
0242,0,0,0
0243,0,0,0
0244,0,0,0
0245,0,0,0
0246,0,0,0
0247,0,0,0
0248,0,0,0
0249,0,0,0
0250,0,0,0
0251,0,0,0
0252,0,0,0
0253,0,0,0
0254,0,0,0
0255,0,0,0
0256,0,0,0
0257,0,0,0
0258,0,0,0
0259,0,0,0
0260,0,0,0
0261,0,0,0
0262,0,0,0
0263,0,0,0
0264,0,0,0
0265,0,0,0
0266,0,0,0
0267,0,0,0
0268,0,0,0
0269,0,0,0
0270,0,0,0
0271,0,0,0
0272,0,0,0
0273,0,0,0
0274,0,0,0
0275,0,0,0
0276,0,0,0
0277,0,0,0
0278,0,0,0
0279,0,0,0
0280,0,0,0
0281,0,0,0
0282,0,0,0
0283,4,4,4
0284,4,4,0
0285,4,4,0
0286,9,9,5
0287,13,13,6
0288,19,19,7
0289,20,20,3
0290,22,18,3
0291,22,18,1
0292,22,18,0
0293,26,19,6
0294,31,19,9
0295,41,25,17
0296,45,28,14
0297,46,27,9
0298,46,27,0
0299,47,28,2
0300,59,39,18
0301,61,38,5
0302,62,33,3
0303,65,31,4
0304,66,27,3
0305,66,27,0
0306,68,27,4
0307,73,19,7
0308,78,23,8
0309,79,22,1
0310,85,27,12
0311,88,29,9
0312,88,29,3
0313,86,26,1
0314,96,33,16
0315,108,40,16
0316,113,48,13
0317,112,47,7
0318,112,51,9
0319,115,53,6
0320,114,54,4
0321,120,53,16
0322,123,44,6
0323,124,38,8
0324,124,36,9
0325,123,36,11
0326,120,34,4
0327,117,34,0
0328,118,26,4
0329,124,30,15
0330,115,31,11
0331,120,34,13
0332,122,33,10
0333,120,33,1
0334,119,33,0
0335,119,33,3
0336,124,33,11
0337,125,34,9
0338,125,33,8
0339,126,30,5
0340,121,30,1
0341,119,30,0
0342,119,28,2
0343,119,19,0
0344,112,13,3
0345,100,8,2
0346,97,11,8
0347,93,10,0
0348,87,10,0
0349,93,18,10
0350,97,22,6
0351,96,29,11
0352,93,30,6
0353,95,29,10
0354,93,30,2
0355,88,30,2
0356,88,22,6
0357,95,26,15
0358,96,22,4
0359,96,30,12
0360,101,35,16
0361,97,36,4
0362,93,36,1
0363,102,45,20
0364,106,43,9
0365,111,49,18
0366,106,47,8
0367,103,46,11
0368,99,44,2
0369,97,44,0
0370,96,34,3
0371,97,31,4
0372,98,22,5
0373,98,16,1
0374,98,11,4
0375,98,10,0
0376,92,11,1
0377,92,11,3
0378,95,13,9
0379,101,26,21
0380,104,33,14
0381,102,36,8
0382,102,37,2
0383,99,37,2
0384,100,39,9
0385,103,40,7
0386,109,31,10
0387,110,32,14
0388,110,31,7
0389,105,32,6
0390,100,32,4
0391,101,34,11
0392,101,30,5
0393,92,25,6
0394,88,17,4
0395,80,13,4
0396,76,12,1
0397,70,12,0
0398,72,11,6
0399,72,10,1
0400,72,7,2
0401,70,7,3
0402,68,6,3
0403,67,6,4
0404,68,7,1
0405,68,5,2
0406,69,6,4
0407,79,16,14
0408,80,21,15
0409,68,23,11
0410,65,26,10
0411,66,29,6
0412,98,62,43
0413,98,64,27
0414,97,60,22
0415,94,55,19
0416,88,52,15
0417,82,52,16
0418,79,50,3
0419,95,53,40
0420,101,60,42
0421,101,62,39
0422,102,63,36
0423,104,67,39
0424,107,69,29
0425,107,71,4
0426,125,83,54
0427,130,82,54
0428,129,80,51
0429,132,85,55
0430,133,84,55
0431,133,82,47
0432,133,82,9
0433,134,72,43
0434,134,68,52
0435,137,67,54
0436,138,67,55
0437,140,72,59
0438,136,72,35
0439,133,72,7
0440,137,76,50
0441,149,88,60
0442,144,86,50
0443,146,85,53
0444,144,76,43
0445,144,75,42
0446,144,74,5
0447,146,72,42
0448,146,61,40
0449,138,60,31
0450,133,52,2
0451,131,50,22
0452,128,48,29
0453,126,48,2
0454,124,44,13
0455,124,39,10
0456,114,33,5
0457,108,32,0
0458,104,34,20
0459,102,29,22
0460,101,29,5
0461,103,46,43
0462,106,52,47
0463,104,52,45
0464,107,57,50
0465,103,57,46
0466,99,56,39
0467,91,57,6
0468,89,55,45
0469,88,53,47
0470,83,52,44
0471,73,50,46
0472,72,51,43
0473,78,62,46
0474,88,73,20
0475,114,99,80
0476,121,106,83
0477,125,112,83
0478,125,111,83
0479,127,112,84
0480,128,113,77
0481,128,107,26
0482,135,106,88
0483,138,104,94
0484,138,103,92
0485,142,106,96
0486,142,105,91
0487,150,111,95
0488,150,111,24
0489,151,115,100
0490,159,121,107
0491,163,125,111
0492,176,138,126
0493,178,142,118
0494,191,158,127
0495,191,158,27
0496,211,180,141
0497,217,187,144
0498,215,183,124
0499,215,173,120
0500,216,173,123
0501,222,169,115
0502,221,169,28
0503,234,175,135
0504,235,166,127
0505,234,170,144
0506,234,174,144
0507,235,173,141
0508,245,180,146
0509,244,180,35
0510,247,175,151
0511,255,181,151
0512,262,188,165
0513,266,192,163
0514,268,197,168
0515,268,196,155
0516,268,196,32
0517,282,209,163
0518,289,214,185
0519,301,222,196
0520,301,221,188
0521,303,224,191
0522,300,227,171
0523,299,227,32
0524,301,238,195
0525,306,239,204
0526,308,239,214
0527,302,238,210
0528,305,234,214
0529,310,241,199
0530,309,241,42
0531,337,270,231
0532,342,271,225
0533,339,272,233
0534,342,275,227
0535,340,273,198
0536,342,272,193
0537,342,273,36
0538,350,274,242
0539,356,276,250
0540,356,271,246
0541,355,270,246
0542,357,277,256
0543,365,286,250
0544,360,285,51
0545,360,284,241
0546,364,284,252
0547,367,288,234
0548,364,287,32
0549,353,282,13
0550,352,270,22
0551,344,270,30
0552,353,282,246
0553,359,285,257
0554,368,293,271
0555,370,300,258
0556,372,309,280
0557,370,310,228
0558,367,310,34
0559,377,317,266
0560,392,327,283
0561,390,336,290
0562,393,343,282
0563,396,343,285
0564,405,348,230
0565,403,348,53
0566,407,354,287
0567,415,359,288
0568,423,359,303
0569,432,359,307
0570,439,362,307
0571,440,353,244
0572,436,353,49
0573,437,359,309
0574,443,364,316
0575,451,367,309
0576,453,367,323
0577,449,357,244
0578,450,355,183
0579,450,355,53
0580,456,359,316
0581,458,354,317
0582,459,357,319
0583,455,353,309
0584,453,354,310
0585,456,356,237
0586,451,356,30
0587,449,353,303
0588,450,351,322
0589,453,352,320
0590,451,350,308
0591,448,352,320
0592,439,346,214
0593,434,346,52
0594,425,345,309
0595,427,343,321
0596,428,343,320
0597,426,345,324
0598,425,347,318
0599,425,352,254
0600,415,352,48
0601,418,357,319
0602,419,356,324
0603,415,357,301
0604,410,356,320
0605,409,352,322
0606,407,348,235
0607,406,347,48
0608,405,348,312
0609,410,349,325
0610,409,353,325
0611,406,351,319
0612,403,350,310
0613,404,354,271
0614,402,354,58
0615,400,354,320
0616,401,352,331
0617,401,353,331
0618,400,353,328
0619,413,366,294
0620,418,371,226
0621,418,371,56
0622,424,377,329
0623,428,378,335
0624,435,386,347
0625,445,399,345
0626,445,383,334
0627,454,387,298
0628,452,389,71
0629,456,394,339
0630,458,400,360
0631,457,399,368
0632,453,393,358
0633,451,395,366
0634,467,410,339
0635,463,409,76
0636,463,405,362
0637,468,408,373
0638,468,407,374
0639,467,406,367
0640,468,406,367
0641,472,405,338
0642,474,409,73
0643,480,417,383
0644,488,423,394
0645,488,420,390
0646,486,419,391
0647,491,424,388
0648,496,428,340
0649,486,428,87
0650,486,430,384
0651,487,421,383
0652,492,428,388
0653,491,426,376
0654,488,422,382
0655,487,424,334
0656,486,422,74
0657,489,428,393
0658,495,435,404
0659,492,430,398
0660,498,437,405
0661,508,449,412
0662,507,449,367
0663,506,449,76
0664,513,461,405
0665,516,458,407
0666,524,470,419
0667,536,478,425
0668,545,475,425
0669,560,492,383
0670,561,493,92
0671,563,486,410
0672,575,497,430
0673,593,514,441
0674,595,509,415
0675,604,510,435
0676,623,529,404
0677,620,530,90
0678,658,570,479
0679,678,584,473
0680,699,590,494
0681,715,614,510
0682,716,614,514
0683,729,619,481
0684,729,616,105
0685,755,623,546
0686,785,650,569
0687,820,687,605
0688,854,723,634
0689,872,737,647
0690,888,750,585
0691,884,752,164
0692,896,754,665
0693,899,737,677
0694,900,735,674
0695,909,735,682
0696,910,736,665
0697,903,729,641
0698,898,732,176
0699,898,734,576
0700,899,731,655
0701,898,731,679
0702,897,729,670
0703,889,736,677
0704,887,734,569
0705,883,735,149
0706,878,741,667
0707,884,747,679
0708,876,746,678
0709,869,742,643
0710,861,735,0

#  
# Start date: 20241001
# End date: 20260911
Audience name,Active users
All Users,1768

#  
# Start date: 20241001
# End date: 20260911
Event name,Event count
app_exception,15300897
user_engagement,4150778
session_start,288178
screen_view,228427
notification_receive,12522
notification_dismiss,5792
notification_foreground,3755
first_open,1703
app_clear_data,1270
app_remove,745
os_update,292
app_update,175
sfa_feature_use,163
rvm_session_start,64
rvm_session_end,51
notification_open,22
app_open,12
report_view,11
rvm_daily_active,6
dashboard_view,5
login,5
rvm_login_success,5
logout,3

#  
# Start date: 20241001
# End date: 20260911
Nth week,Average engagement time per active user
0040,1623.75
0041,4606.944444444444
0042,12531.148148148148
0043,4442.37037037037
0044,5978.482758620689
0045,4617.245283018868
0046,6365.823529411765
0047,7058.121212121212
0048,4869.933333333333
0049,6277.7
0050,2978.1666666666665
0051,4998.888888888889
0052,5140.954545454545
0053,6818.4
0054,4077.4594594594596
0055,7473.25
0056,12926.75
0057,12033.666666666666
0058,9989.26923076923
0059,9121.846153846154
0060,21786.971014492752
0061,28388.817073170732
0062,30119.444444444445
0063,30235.04
0064,22079.645833333332
0065,13760.793103448275
0066,34612.375
0067,34440.5
0068,30070.7610619469
0069,36474.2972972973
0070,30538.62658227848
0071,32635.597633136094
0072,30296.527777777777
0073,33634.47959183674
0074,28932.59471365639
0075,31715.634854771783
0076,27963.58088235294
0077,31610.933566433567
0078,14225.429629629629
0079,30664.293548387097
0080,25146.364942528737
0081,30841.940509915014
0082,29975.428169014085
0083,29729.483146067414
0084,30796.50867052023
0085,32552.048295454544
0086,32764.52298850575
0087,31681.661016949154
0088,30846.838274932616
0089,33235.025839793285
0090,34209.075609756095
0091,35517.014814814815
0092,34994.306074766355
0093,34590.47169811321
0094,35439.46547884187
0095,34112.70325203252
0096,30581.489603024576
0097,31025.163166397415
0098,34467.51466666667
0099,42101.24965706447
0100,38035.18392370572
0101,26911.398362892225

# Start date: 20241001
# End date: 20260911
Nth week,Engaged sessions per active user
0040,1.75
0041,2.2777777777777777
0042,5.037037037037037
0043,2.1481481481481484
0044,2.7586206896551726
0045,2.1132075471698113
0046,3
0047,3.1818181818181817
0048,2.033333333333333
0049,2.4
0050,2.3
0051,3.5833333333333335
0052,3.0454545454545454
0053,3.5
0054,2.7837837837837838
0055,3.875
0056,8.833333333333334
0057,9.333333333333334
0058,5.576923076923077
0059,7.519230769230769
0060,11.391304347826088
0061,14.475609756097562
0062,16.166666666666668
0063,15.826666666666666
0064,11.729166666666666
0065,8.172413793103448
0066,20.035714285714285
0067,18.596774193548388
0068,18.75221238938053
0069,23.036036036036037
0070,19.348101265822784
0071,19.08284023668639
0072,20.194444444444443
0073,22.367346938775512
0074,19.629955947136565
0075,22.37344398340249
0076,20.158088235294116
0077,21.804195804195803
0078,10.596296296296297
0079,19.638709677419357
0080,17.614942528735632
0081,20.218130311614733
0082,19.149295774647886
0083,20.530898876404493
0084,20.289017341040463
0085,21.12215909090909
0086,21.160919540229884
0087,21.016949152542374
0088,20.045822102425877
0089,20.48062015503876
0090,21.004878048780487
0091,22.244444444444444
0092,21.656542056074766
0093,21.245283018867923
0094,22.08240534521158
0095,20.422764227642276
0096,19.17391304347826
0097,18.623586429725364
0098,18.608
0099,23.209876543209877
0100,20.69209809264305
0101,14.264665757162346

# Start date: 20241001
# End date: 20260911
Nth week,Average engagement time per session
0040,811.875
0041,1658.5
0042,2240.6688741721855
0043,1817.3333333333333
0044,1970.1818181818182
0045,1747.9571428571428
0046,1915.3805309734514
0047,1863.344
0048,2087.114285714286
0049,2164.7241379310344
0050,1103.0246913580247
0051,1215.945945945946
0052,1478.4444444444443
0053,1794.3157894736842
0054,1246.8264462809918
0055,1708.1714285714286
0056,1303.5378151260504
0057,1146.063492063492
0058,1564.5843373493976
0059,1056.4276169265033
0060,1741.9478563151797
0061,1812.9929906542056
0062,1726.592356687898
0063,1756.4895429899302
0064,1763.432612312812
0065,1577.3241106719368
0066,1619.2923976608188
0067,1744.5351307189542
0068,1478.675369886858
0069,1476.5306345733043
0070,1470.6196281621458
0071,1598.671304347826
0072,1395.4388433981576
0073,1403.8241056218058
0074,1374.858488591166
0075,1314.8921383106829
0076,1268.5280186791194
0077,1336.9900916888494
0078,1221.6494910941476
0079,1446.6490640693958
0080,1321.0952596618358
0081,1407.342942088935
0082,1427.2098980686694
0083,1318.67630201844
0084,1386.905115189379
0085,1414.9569029389972
0086,1410.0981944100915
0087,1360.4206695778748
0088,1434.2871287128712
0089,1484.5285087719299
0090,1508.7909853700517
0091,1470.0450689831375
0092,1476.20372560615
0093,1482.0493128536782
0094,1479.8028457174742
0095,1540.0486327766562
0096,1456.3925099027729
0097,1525.141041931385
0098,1683.3128866315035
0099,1653.8318245500593
0100,1676.8469577752417
0101,1722.1979221232757

#  
# Start date: 20241001
# End date: 20260911
Nth day,DAU / MAU,DAU / WAU,WAU / MAU
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,0,0,0
0028,0,0,0
0029,0,0,0
0030,0,0,0
0031,0,0,0
0032,0,0,0
0033,0,0,0
0034,0,0,0
0035,0,0,0
0036,0,0,0
0037,0,0,0
0038,0,0,0
0039,0,0,0
0040,0,0,0
0041,0,0,0
0042,0,0,0
0043,0,0,0
0044,0,0,0
0045,0,0,0
0046,0,0,0
0047,0,0,0
0048,0,0,0
0049,0,0,0
0050,0,0,0
0051,0,0,0
0052,0,0,0
0053,0,0,0
0054,0,0,0
0055,0,0,0
0056,0,0,0
0057,0,0,0
0058,0,0,0
0059,0,0,0
0060,0,0,0
0061,0,0,0
0062,0,0,0
0063,0,0,0
0064,0,0,0
0065,0,0,0
0066,0,0,0
0067,0,0,0
0068,0,0,0
0069,0,0,0
0070,0,0,0
0071,0,0,0
0072,0,0,0
0073,0,0,0
0074,0,0,0
0075,0,0,0
0076,0,0,0
0077,0,0,0
0078,0,0,0
0079,0,0,0
0080,0,0,0
0081,0,0,0
0082,0,0,0
0083,0,0,0
0084,0,0,0
0085,0,0,0
0086,0,0,0
0087,0,0,0
0088,0,0,0
0089,0,0,0
0090,0,0,0
0091,0,0,0
0092,0,0,0
0093,0,0,0
0094,0,0,0
0095,0,0,0
0096,0,0,0
0097,0,0,0
0098,0,0,0
0099,0,0,0
0100,0,0,0
0101,0,0,0
0102,0,0,0
0103,0,0,0
0104,0,0,0
0105,0,0,0
0106,0,0,0
0107,0,0,0
0108,0,0,0
0109,0,0,0
0110,0,0,0
0111,0,0,0
0112,0,0,0
0113,0,0,0
0114,0,0,0
0115,0,0,0
0116,0,0,0
0117,0,0,0
0118,0,0,0
0119,0,0,0
0120,0,0,0
0121,0,0,0
0122,0,0,0
0123,0,0,0
0124,0,0,0
0125,0,0,0
0126,0,0,0
0127,0,0,0
0128,0,0,0
0129,0,0,0
0130,0,0,0
0131,0,0,0
0132,0,0,0
0133,0,0,0
0134,0,0,0
0135,0,0,0
0136,0,0,0
0137,0,0,0
0138,0,0,0
0139,0,0,0
0140,0,0,0
0141,0,0,0
0142,0,0,0
0143,0,0,0
0144,0,0,0
0145,0,0,0
0146,0,0,0
0147,0,0,0
0148,0,0,0
0149,0,0,0
0150,0,0,0
0151,0,0,0
0152,0,0,0
0153,0,0,0
0154,0,0,0
0155,0,0,0
0156,0,0,0
0157,0,0,0
0158,0,0,0
0159,0,0,0
0160,0,0,0
0161,0,0,0
0162,0,0,0
0163,0,0,0
0164,0,0,0
0165,0,0,0
0166,0,0,0
0167,0,0,0
0168,0,0,0
0169,0,0,0
0170,0,0,0
0171,0,0,0
0172,0,0,0
0173,0,0,0
0174,0,0,0
0175,0,0,0
0176,0,0,0
0177,0,0,0
0178,0,0,0
0179,0,0,0
0180,0,0,0
0181,0,0,0
0182,0,0,0
0183,0,0,0
0184,0,0,0
0185,0,0,0
0186,0,0,0
0187,0,0,0
0188,0,0,0
0189,0,0,0
0190,0,0,0
0191,0,0,0
0192,0,0,0
0193,0,0,0
0194,0,0,0
0195,0,0,0
0196,0,0,0
0197,0,0,0
0198,0,0,0
0199,0,0,0
0200,0,0,0
0201,0,0,0
0202,0,0,0
0203,0,0,0
0204,0,0,0
0205,0,0,0
0206,0,0,0
0207,0,0,0
0208,0,0,0
0209,0,0,0
0210,0,0,0
0211,0,0,0
0212,0,0,0
0213,0,0,0
0214,0,0,0
0215,0,0,0
0216,0,0,0
0217,0,0,0
0218,0,0,0
0219,0,0,0
0220,0,0,0
0221,0,0,0
0222,0,0,0
0223,0,0,0
0224,0,0,0
0225,0,0,0
0226,0,0,0
0227,0,0,0
0228,0,0,0
0229,0,0,0
0230,0,0,0
0231,0,0,0
0232,0,0,0
0233,0,0,0
0234,0,0,0
0235,0,0,0
0236,0,0,0
0237,0,0,0
0238,0,0,0
0239,0,0,0
0240,0,0,0
0241,0,0,0
0242,0,0,0
0243,0,0,0
0244,0,0,0
0245,0,0,0
0246,0,0,0
0247,0,0,0
0248,0,0,0
0249,0,0,0
0250,0,0,0
0251,0,0,0
0252,0,0,0
0253,0,0,0
0254,0,0,0
0255,0,0,0
0256,0,0,0
0257,0,0,0
0258,0,0,0
0259,0,0,0
0260,0,0,0
0261,0,0,0
0262,0,0,0
0263,0,0,0
0264,0,0,0
0265,0,0,0
0266,0,0,0
0267,0,0,0
0268,0,0,0
0269,0,0,0
0270,0,0,0
0271,0,0,0
0272,0,0,0
0273,0,0,0
0274,0,0,0
0275,0,0,0
0276,0,0,0
0277,0,0,0
0278,0,0,0
0279,0,0,0
0280,0,0,0
0281,0,0,0
0282,0,0,0
0283,1,1,1
0284,0,0,1
0285,0,0,1
0286,0.5555555555555556,0.5555555555555556,1
0287,0.46153846153846156,0.46153846153846156,1
0288,0.3684210526315789,0.3684210526315789,1
0289,0.15,0.15,1
0290,0.13636363636363635,0.16666666666666666,0.8181818181818182
0291,0.045454545454545456,0.05555555555555555,0.8181818181818182
0292,0,0,0.8181818181818182
0293,0.23076923076923078,0.3157894736842105,0.7307692307692307
0294,0.2903225806451613,0.47368421052631576,0.6129032258064516
0295,0.4146341463414634,0.68,0.6097560975609756
0296,0.3111111111111111,0.5,0.6222222222222222
0297,0.1956521739130435,0.3333333333333333,0.5869565217391305
0298,0,0,0.5869565217391305
0299,0.0425531914893617,0.07142857142857142,0.5957446808510638
0300,0.3050847457627119,0.46153846153846156,0.6610169491525424
0301,0.08196721311475409,0.13157894736842105,0.6229508196721312
0302,0.04838709677419355,0.09090909090909091,0.532258064516129
0303,0.06153846153846154,0.12903225806451613,0.47692307692307695
0304,0.045454545454545456,0.1111111111111111,0.4090909090909091
0305,0,0,0.4090909090909091
0306,0.058823529411764705,0.14814814814814814,0.39705882352941174
0307,0.0958904109589041,0.3684210526315789,0.2602739726027397
0308,0.10256410256410256,0.34782608695652173,0.2948717948717949
0309,0.012658227848101266,0.045454545454545456,0.27848101265822783
0310,0.1411764705882353,0.4444444444444444,0.3176470588235294
0311,0.10227272727272728,0.3103448275862069,0.32954545454545453
0312,0.03409090909090909,0.10344827586206896,0.32954545454545453
0313,0.011627906976744186,0.038461538461538464,0.3023255813953488
0314,0.16666666666666666,0.48484848484848486,0.34375
0315,0.14814814814814814,0.4,0.37037037037037035
0316,0.11504424778761062,0.2708333333333333,0.4247787610619469
0317,0.0625,0.14893617021276595,0.41964285714285715
0318,0.08035714285714286,0.17647058823529413,0.45535714285714285
0319,0.05217391304347826,0.11320754716981132,0.4608695652173913
0320,0.03508771929824561,0.07407407407407407,0.47368421052631576
0321,0.13333333333333333,0.3018867924528302,0.44166666666666665
0322,0.04878048780487805,0.13636363636363635,0.35772357723577236
0323,0.06451612903225806,0.21052631578947367,0.3064516129032258
0324,0.07258064516129033,0.25,0.2903225806451613
0325,0.08943089430894309,0.3055555555555556,0.2926829268292683
0326,0.03333333333333333,0.11764705882352941,0.2833333333333333
0327,0,0,0.2905982905982906
0328,0.03389830508474576,0.15384615384615385,0.22033898305084745
0329,0.12096774193548387,0.5,0.24193548387096775
0330,0.09565217391304348,0.3548387096774194,0.26956521739130435
0331,0.10833333333333334,0.38235294117647056,0.2833333333333333
0332,0.08196721311475409,0.30303030303030304,0.27049180327868855
0333,0.008333333333333333,0.030303030303030304,0.275
0334,0,0,0.2773109243697479
0335,0.025210084033613446,0.09090909090909091,0.2773109243697479
0336,0.08870967741935484,0.3333333333333333,0.2661290322580645
0337,0.072,0.2647058823529412,0.272
0338,0.064,0.24242424242424243,0.264
0339,0.03968253968253968,0.16666666666666666,0.23809523809523808
0340,0.008264462809917356,0.03333333333333333,0.24793388429752067
0341,0,0,0.25210084033613445
0342,0.01680672268907563,0.07142857142857142,0.23529411764705882
0343,0,0,0.15966386554621848
0344,0.026785714285714284,0.23076923076923078,0.11607142857142858
0345,0.02,0.25,0.08
0346,0.08247422680412371,0.7272727272727273,0.1134020618556701
0347,0,0,0.10752688172043011
0348,0,0,0.11494252873563218
0349,0.10752688172043011,0.5555555555555556,0.1935483870967742
0350,0.061855670103092786,0.2727272727272727,0.2268041237113402
